,index,Unnamed: 0.1,Unnamed: 0,tic,date,high,low,open,close,adjcp,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,BTC,pct_return,key_indicator_filtered,pct_return_filtered,label
0,0,1800,1800,BTC,2018-04-03 23:59:59,7530.93994140625,7072.490234375,7102.259765625,7456.10986328125,7456.10986328125,-0.0474577365602991,0.0100360750441073,-0.0514503723711802,0.0,0.0525579588439786,-0.0545152874769164,0.0046336723244941,0.0642328012460242,0.0758691405885469,0.1027218384042081,0.1471652741971632,BTC,0.0,7453.580640841361,0.0,2
1,1,1801,1801,BTC,2018-04-04 23:59:59,7469.8798828125,6803.8798828125,7456.41015625,6853.83984375,6853.83984375,0.087917186020838,0.0898824678000413,-0.0072893388343555,0.0,-0.0807753681979956,0.0274972885295252,0.0689577167338337,0.1377166967877838,0.1598531139592711,0.1878784674193241,0.2250176798893717,BTC,-0.0807753681979956,7198.437346207542,-0.0342309699093855,2
2,2,1802,1802,BTC,2018-04-05 23:59:59,6933.81982421875,6644.7998046875,6848.64990234375,6811.47021484375,6811.47021484375,0.0054583939042964,0.0179622908881509,-0.0244690800809841,0.0,-0.0061818819628367,0.029130234781046,0.0550838139165388,0.1240657961652413,0.1558596407670855,0.1790174704590881,0.2132173697032231,BTC,-0.0061818819628367,6980.996058136851,-0.0302067348249197,2
3,3,1803,1803,BTC,2018-04-06 23:59:59,6857.490234375,6575.0,6815.9599609375,6636.31982421875,6636.31982421875,0.0270692404038705,0.0333272681266965,-0.0092400345135519,0.0,-0.0257140360451562,0.050025932253285,0.064897433873122,0.1327157564822232,0.1767177772530912,0.1946516414354806,0.2285150772624673,BTC,-0.0257140360451562,6830.423795731913,-0.0215688794480031,2
4,4,1804,1804,BTC,2018-04-07 23:59:59,7050.5400390625,6630.509765625,6630.509765625,6911.08984375,6911.08984375,-0.0405985285198891,0.0201777430861518,-0.0405985285198891,0.0,0.0414039749152079,0.0032811140835127,0.0074620783285921,0.0686923257212093,0.1204377595395533,0.133936927119513,0.1676916106303332,BTC,0.0414039749152079,6764.608497489786,-0.0096356097674719,2
5,5,1805,1805,BTC,2018-04-08 23:59:59,7111.56005859375,6919.97998046875,6919.97998046875,7023.52001953125,7023.52001953125,-0.0147419013222105,0.0125350306993752,-0.0147419013222105,0.0,0.0162680819267493,-0.0250973970063893,-0.0106893835855238,0.0359746468496025,0.0910611033560577,0.1086874354715938,0.1380173022160682,BTC,0.0162680819267493,6788.142389620233,0.003478973267881,2
6,6,1806,1806,BTC,2018-04-09 23:59:59,7178.10986328125,6661.990234375,7044.31982421875,6770.72998046875,6770.72998046875,0.0404077321853351,0.0601677934266544,-0.0160602691892052,0.0,-0.0359919297388677,0.0088463129184783,0.02447800104641,0.0576681302707384,0.1159730983874394,0.1410413952232203,0.1701906579583605,BTC,-0.0359919297388677,6892.8157092144975,0.0154200241518682,2
7,7,1807,1807,BTC,2018-04-10 23:59:59,6872.41015625,6704.14990234375,6795.43994140625,6834.759765625,6834.759765625,-0.0057529197173112,0.0055086633497143,-0.0191096494624645,0.0,0.009456851084145,7.66846402395771e-05,0.0128500710265224,0.0343512944277732,0.0901958144503181,0.1215521617010015,0.14584607243286,BTC,0.009456851084145,7060.110252945481,0.0242708569021132,2
8,8,1808,1808,BTC,2018-04-11 23:59:59,6968.31982421875,6817.58984375,6843.47021484375,6968.31982421875,6968.31982421875,-0.017916745000865,0.0,-0.0216307494878292,0.0,0.01954129525744,-0.0095626979215855,-0.0047822038341912,0.0062532681097628,0.0566706436965454,0.0946106636767585,0.1131840701022346,BTC,0.01954129525744,7265.170158156538,0.02904485877193,2
9,9,1809,1809,BTC,2018-04-12 23:59:59,7899.22998046875,6806.509765625,6955.3798828125,7889.25,7889.25,-0.1183724837199353,0.0012650100413538,-0.1372424798776816,0.0,0.1321595734714284,-0.1003814154743797,-0.1107467860736127,-0.1117601887391598,-0.072953640931489,-0.0348613619799093,-0.0222768150687644,BTC,0.1321595734714284,7481.791884896295,0.0298164698175111,2
10,10,1810,1810,BTC,2018-04-13 23:59:59,8183.9599609375,7758.93017578125,7901.08984375,7895.9599609375,7895.9599609375,0.000649684501679,0.0364743490879866,-0.0173544174279197,0.0,0.0008505194964667,-0.079047520222404,-0.1059318990143174,-0.1063493292426996,-0.0786310320138747,-0.0394033885258023,-0.0246859126475914,BTC,0.0008505194964667,7687.697713124717,0.0275209243181555,2
11,11,1811,1811,BTC,2018-04-14 23:59:59,8140.7099609375,7846.0,7874.669921875,7986.240234375,7986.240234375,-0.0139703175994844,0.019341983465213,-0.0175602323821123,0.0,0.0114337298927718,-0.0590182944052942,-0.1018594787665797,-0.1073048492830075,-0.0922367389712041,-0.0549065665921977,-0.0370245046309712,BTC,0.0114337298927718,7868.866174541426,0.0235660230380041,2
12,12,1812,1812,BTC,2018-04-15 23:59:59,8338.419921875,7999.330078125,7999.330078125,8329.1103515625,8329.1103515625,-0.0395936972278959,0.0011177148482315,-0.0395936972278959,0.0,0.042932607475504,-0.0618714671305892,-0.1206107649786745,-0.1332027476267563,-0.1288864392099948,-0.0966938738134758,-0.0767026313764394,BTC,0.042932607475504,8021.562836060993,0.0194051669112882,2
13,13,1813,1813,BTC,2018-04-16 23:59:59,8371.150390625,7925.72998046875,8337.5703125,8058.669921875,8058.669921875,0.0346087373386436,0.0387756877722194,-0.0164965115453343,0.0,-0.0324693056367979,-0.0033285676650172,-0.0734494572155037,-0.0940672963424081,-0.0982528703679243,-0.0697044938256763,-0.0451312586559006,BTC,-0.0324693056367979,8151.303793696976,0.0161740249733794,2
14,14,1814,1814,BTC,2018-04-17 23:59:59,8285.9599609375,7881.72021484375,8071.66015625,7902.08984375,7902.08984375,0.0214589198367718,0.0485783033068289,-0.0025777521274781,0.0,-0.0194300150822617,0.0167454713077781,-0.0425488522864055,-0.0692126456526449,-0.0807162272885683,-0.0562188799936724,-0.0275670745723416,BTC,-0.0194300150822617,8269.079934441077,0.0144487487799402,2
15,15,1815,1815,BTC,2018-04-18 23:59:59,8197.7998046875,7886.009765625,7944.43017578125,8163.419921875,8163.419921875,-0.0268257358055215,0.0042114558777472,-0.0339821005050398,0.0,0.0330710082133138,-0.0092502735263134,-0.0592355833748636,-0.0932330598907585,-0.1040337235873349,-0.0889044951145676,-0.060604738187926,BTC,0.0330710082133138,8386.23708326376,0.0141680996860025,2
