,index,Unnamed: 0.1,Unnamed: 0,tic,date,high,low,open,close,adjcp,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30,BTC,pct_return,key_indicator_filtered,pct_return_filtered,label
385,385,2185,2185,BTC,2019-04-23 23:59:59,5633.80205461,5389.40888788,5399.36570489,5572.36206051,5572.36206051,-0.0310454262916589,0.0110258438760484,-0.0328322479127021,0.0,0.0320401819992981,-0.0335172991338088,-0.0497984294153354,-0.0581038542591937,-0.0646986036934764,-0.0922348114487306,-0.1226784070018058,BTC,0.0320401819992983,5378.226954576909,-0.0018656282925334,2
386,386,2186,2186,BTC,2019-04-24 23:59:59,5642.04459312,5418.26332858,5571.50817669,5464.86664182,5464.86664182,0.0195140232798955,0.0324212762932112,-0.0085278042987119,0.0,-0.0192908173450888,-0.0086121593298982,-0.0256703487483969,-0.0364058429668116,-0.0413413991603387,-0.0644374521976485,-0.0962609429203085,BTC,-0.0192908173450886,5357.80623944312,-0.0037969232808984,2
387,387,2187,2187,BTC,2019-04-25 23:59:59,5542.23830474,5181.33901806,5466.52427676,5210.51555862,5210.51555862,0.049133087745314,0.0636640928115483,-0.0055995496475836,0.0,-0.0465429625040754,0.0348934120208546,0.0246437723542674,0.0091729091283996,0.0071235893090453,-0.0102843084716538,-0.0443054636122817,BTC,-0.0465429625040753,5334.402818888924,-0.0043680975959721,2
388,388,2188,2188,BTC,2019-04-26 23:59:59,5383.63441532,5177.36851375,5210.30491981,5279.34821147,5279.34821147,-0.0130779954067048,0.0197536134524003,-0.0193167212381326,0.0,0.0132103343854577,0.0200675084855788,0.0121138032797409,-0.0012715643889679,-0.0039282365771864,-0.0146935934897919,-0.0492379394582409,BTC,0.0132103343854577,5316.311712443772,-0.0033914023854914,2
389,389,2189,2189,BTC,2019-04-27 23:59:59,5310.75014488,5233.63572083,5279.47114181,5268.29106346,5268.29106346,0.002122145153965,0.0080593651543836,-0.0065780994657573,0.0,-0.0020944153647561,0.0172324654470354,0.0145484409000482,0.0030865657816028,-0.0011790686955555,-0.009676557062988,-0.039655038031465,BTC,-0.0020944153647559,5310.69220714177,-0.001057030814963,2
390,390,2190,2190,BTC,2019-04-28 23:59:59,5326.23201477,5255.68374555,5271.74639378,5285.13900822,5285.13900822,-0.0025340136596538,0.0077751988142769,-0.0055732238308562,0.0,0.0031979904976877,0.0031206536805084,0.0110636271384836,0.002267328290898,-0.004406927311519,-0.0104712810872005,-0.0352315069414564,BTC,0.0031979904976879,5321.757304560266,0.0020835508794154,2
391,391,2191,2191,BTC,2019-04-29 23:59:59,5311.27468235,5216.48796096,5284.85852173,5247.35253746,5247.35253746,0.00714760138608,0.0121817896612947,-0.0058819330852392,0.0,-0.007149569898016,0.002053747734513,0.0172683785981837,0.0104963967263118,0.0031663501071041,-0.0008715929337984,-0.0210380107581078,BTC,-0.0071495698980158,5349.822985494756,0.0052737619038809,2
392,392,2192,2192,BTC,2019-04-30 23:59:59,5363.25752308,5224.18984511,5247.72588172,5350.72669668,5350.72669668,-0.0192498740449422,0.0023418924401008,-0.0236485357490812,0.0,0.0197002504562113,-0.0120647524871818,-0.002144910995757,-0.0054923350160209,-0.0159698798679102,-0.0178267170343765,-0.0321932480270793,BTC,0.0197002504562116,5391.5973047828265,0.00780854233894,2
393,393,2193,2193,BTC,2019-05-01 23:59:59,5418.004045,5347.6461061,5350.91450555,5402.69709069,5402.69709069,-0.0095845804920715,0.0028332060918938,-0.0101895374969039,0.0,0.0097127730411357,-0.0170018436803141,-0.010111738983505,-0.0129964469556628,-0.0223055973018856,-0.0247359950796227,-0.0338245624248623,BTC,0.0097127730411359,5441.750749931707,0.0093021496810212,2
394,394,2194,2194,BTC,2019-05-02 23:59:59,5522.26255673,5394.21751696,5402.42286531,5505.28367176,5505.28367176,-0.0186840156807245,0.0030841071927127,-0.0201744653721891,0.0,0.018988031227362,-0.0267095901982816,-0.0266335808349228,-0.0283205657766749,-0.0367482841564136,-0.0406831356585841,-0.0480417723049766,BTC,0.0189880312273622,5495.436175441731,0.0098654694007618,2
