,date,open,high,low,close,tic,adjclose,volume,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
0,2016-06-01 09:30:00.000,18.3,18.3,18.3,18.3,600000,18.3,100000,0.0,0.0,0.0,0.0,-0.004918032786885407,0.002089059923034542,0.00804661487236391,0.005478437904867572,0.0037735849056603765,0.003374028856825806,0.004391328515842341
0,2016-06-01 09:30:00.000,27.75,27.75,27.75,27.75,600009,27.75,100000,0.0,0.0,0.0,0.0,-0.00480307396733981,0.006756756756757021,0.004826254826254983,0.00315315315315301,0.00318532818532824,0.00432432432432428,0.005855855855855907
0,2016-06-01 09:30:00.000,9.12,9.12,9.12,9.12,600016,9.12,100000,0.0,0.0,0.0,0.0,-0.01419354838709741,0.010340314136125794,0.022997382198952865,0.028054101221640426,0.03239528795811508,0.029879581151832424,0.02891361256544478
0,2016-06-01 09:30:00.000,4.83,4.83,4.83,4.83,600028,4.83,100000,0.0,0.0,0.0,0.0,-0.003590664272891342,0.004684684684684637,0.002702702702702675,0.00048048048048032754,0.00018018018018017834,0.0011531531531532302,0.0023423423423425405
0,2016-06-01 09:30:00.000,16.79,16.79,16.79,16.79,600030,16.79,100000,0.0,0.0,0.0,0.0,-0.004938271604938205,0.0029776674937964653,-0.0002481389578162796,0.0,0.0013647642679899263,0.0010918114143918523,0.001240694789081953
0,2016-06-01 09:30:00.000,5.09,5.09,5.09,5.09,600031,5.09,100000,0.0,0.0,0.0,0.0,-0.016089108910891325,0.017232704402515564,-3.144654088060861e-05,-0.009958071278825975,-0.01264150943396214,-0.009811320754717134,-0.007473794549266333
0,2016-06-01 09:30:00.000,18.09,18.09,18.09,18.09,600036,18.09,100000,0.0,0.0,0.0,0.0,-0.010723860589812118,0.01300813008130075,0.0025745257452574055,0.009485094850948617,0.008604336043360528,0.00820234869015346,0.0048479373682626115
0,2016-06-01 09:30:00.000,20.35,20.35,20.35,20.35,600104,20.35,100000,0.0,0.0,0.0,0.0,-0.013867085295656056,0.015547890687184873,0.007110639426903598,-0.0027593526134253032,-0.004152295038471809,-0.0038949323427964755,-0.0029627664278765176
0,2016-06-01 09:30:00.000,45.81,45.81,45.81,45.81,600276,45.81,100000,0.0,0.0,0.0,0.0,-0.005330490405119237,0.008574490889603492,0.012004287245444889,0.013612004287245627,0.0058681672025724385,0.004780278670954097,0.003769203286888123
0,2016-06-01 09:30:00.000,15.88,15.88,15.88,15.88,600309,15.88,100000,0.0,0.0,0.0,0.0,-0.014644786040713953,0.009971540002108092,0.002824918309265234,-0.0016584097536981313,-0.0023242331611679212,-0.004174133024138493,-0.007294192052281989
0,2016-06-01 09:30:00.000,265.4,265.4,265.4,265.4,600519,265.4,100000,0.0,0.0,0.0,0.0,-0.00771730300568596,0.010151453131395538,-0.0006412880338381166,-0.015636512484650034,-0.025194433074089306,-0.02908991676900008,-0.029722108518670187
0,2016-06-01 09:30:00.000,15.23,15.23,15.23,15.23,600585,15.23,100000,0.0,0.0,0.0,0.0,-0.012039131324414809,0.0050321858382313955,-0.008937027707808465,-0.017632614982741046,-0.0218001679261125,-0.024612370556954977,-0.028558820785521077
