,Unnamed: 0,tic,date,high,low,open,close,adjcp,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
300,300,BTC,2014-02-23 23:59:59,639.9099731445312,599.7000122070312,606.469970703125,605.8200073242188,605.8200073242188,0.0010728654898293,0.0562707824241077,-0.0101020023161966,0.0,0.0006607387026433,-0.0213033668471567,0.0146545023527178,0.0388167952966802,0.0933759044022344,0.1474371793379949,0.1844717236455395
301,301,BTC,2014-02-24 23:59:59,607.6099853515625,538.7000122070312,606.0399780273438,546.3200073242188,546.3200073242188,0.1093131679281216,0.1121869549085918,-0.0139478602559495,0.0,-0.0982139897670253,0.0572045492149566,0.1039884896580871,0.1352882115745364,0.1866799476298881,0.2524381138134939,0.294724080289666
302,302,BTC,2014-02-25 23:59:59,541.3800048828125,420.4100036621094,540.239990234375,538.7100219726562,538.7100219726562,0.0028400590286334,0.0049562525315183,-0.2195986959317262,0.0,-0.0139295380903856,0.0656679384448051,0.0987543938660073,0.1337132012836746,0.1780864922432863,0.2485076825029954,0.2915693175734812
303,303,BTC,2014-02-26 23:59:59,603.7999877929688,532.5800170898438,537.0399780273438,582.6900024414062,582.6900024414062,-0.0783435861655322,0.0362285010264704,-0.0859976748212724,0.0,0.0816394324867086,-0.0118381952976251,0.0099984570734905,0.0379057972661605,0.0721035168563934,0.137119218987989,0.183290140818318
304,304,BTC,2014-02-27 23:59:59,594.0499877929688,566.6199951171875,581.6500244140625,578.77001953125,578.77001953125,0.0049760782100376,0.0264007597941824,-0.0209928365396377,0.0,-0.006727390025111,-0.0143545925534096,0.0086320709748666,0.0365326143719717,0.0678205154974898,0.1277778382395991,0.1778426301117306
305,305,BTC,2014-02-28 23:59:59,584.1400146484375,545.1699829101562,579.7000122070312,549.260009765625,549.260009765625,0.0554200231223738,0.0635036308172083,-0.0074464311669331,0.0,-0.0509874540314395,0.0180060486209918,0.0487419375055839,0.0854276520537591,0.1138431545638685,0.1683741575246169,0.2243296867367272
306,306,BTC,2014-03-01 23:59:59,573.3800048828125,539.2899780273438,549.9199829101562,565.6099853515625,565.6099853515625,-0.0277399671995781,0.0137374157678995,-0.0465338448858168,0.0,0.029767278329464,-0.0046003034006644,0.0082742830060449,0.0426914028780835,0.0712770560855271,0.1160467743769959,0.174003320472581
307,307,BTC,2014-03-02 23:59:59,570.47998046875,553.27001953125,567.22998046875,559.7899780273438,559.7899780273438,0.0132907031805469,0.0190964519927223,-0.0116471511674245,0.0,-0.0102897888561872,0.0132800180208489,0.0194091019461273,0.0426791446071725,0.0715858107185016,0.1096347278157277,0.1701239627535686
308,308,BTC,2014-03-03 23:59:59,702.9099731445312,560.52001953125,562.5599975585938,667.760009765625,667.760009765625,-0.157541647700579,0.0526386169654624,-0.1605966045675823,0.0,0.1928759641584854,-0.1250778843534803,-0.1314020097654785,-0.120806885923781,-0.1020089702739709,-0.0765981913207527,-0.0273007403020071
309,309,BTC,2014-03-04 23:59:59,696.219970703125,655.6799926757812,668.239990234375,666.780029296875,666.780029296875,0.0021895690832844,0.0441524042603596,-0.0166472241719639,0.0,-0.0014675638768694,-0.0973934791117673,-0.1209229711061095,-0.115464405283623,-0.0995598618301355,-0.0779777828306295,-0.033799294138582
